seconds,active_clients,client_names
0,0,
1,4,tester0|tester1200|tester400|tester800
2,4,tester0|tester1200|tester400|tester800
3,8,tester0|tester1|tester1200|tester1201|tester400|tester401|tester800|tester801
4,8,tester0|tester1|tester1200|tester1201|tester400|tester401|tester800|tester801
5,12,tester0|tester1|tester1200|tester1201|tester1202|tester2|tester400|tester401|tester402|tester800|tester801|tester802
6,12,tester0|tester1|tester1200|tester1201|tester1202|tester2|tester400|tester401|tester402|tester800|tester801|tester802
7,16,tester0|tester1|tester1200|tester1201|tester1202|tester1203|tester2|tester3|tester400|tester401|tester402|tester403|tester800|tester801|tester802|tester803
8,16,tester0|tester1|tester1200|tester1201|tester1202|tester1203|tester2|tester3|tester400|tester401|tester402|tester403|tester800|tester801|tester802|tester803
9,19,UNDEF|tester0|tester1|tester1200|tester1201|tester1202|tester1203|tester2|tester3|tester4|tester400|tester401|tester402|tester403|tester800|tester801|tester802|tester803|tester804
10,20,UNDEF|tester0|tester1|tester1200|tester1201|tester1202|tester1203|tester1204|tester2|tester3|tester4|tester400|tester401|tester402|tester403|tester800|tester801|tester802|tester803|tester804
11,22,UNDEF|tester0|tester1|tester1200|tester1201|tester1202|tester1203|tester1204|tester1205|tester2|tester3|tester4|tester400|tester401|tester402|tester403|tester405|tester800|tester801|tester802|tester803|tester804
12,22,UNDEF|tester0|tester1|tester1200|tester1201|tester1202|tester1203|tester1204|tester1205|tester2|tester3|tester4|tester400|tester401|tester402|tester403|tester405|tester800|tester801|tester802|tester803|tester804
13,24,UNDEF|tester0|tester1|tester1200|tester1201|tester1202|tester1203|tester1204|tester1205|tester2|tester3|tester4|tester400|tester401|tester402|tester403|tester404|tester405|tester406|tester800|tester801|tester802|tester803|tester804
14,27,UNDEF|tester0|tester1|tester1200|tester1201|tester1202|tester1203|tester1204|tester1205|tester1206|tester2|tester3|tester4|tester400|tester401|tester402|tester403|tester404|tester405|tester406|tester800|tester801|tester802|tester803|tester804|tester805|tester806
15,28,UNDEF|tester0|tester1|tester1200|tester1201|tester1202|tester1203|tester1204|tester1205|tester1206|tester2|tester3|tester4|tester400|tester401|tester402|tester403|tester404|tester405|tester406|tester7|tester800|tester801|tester802|tester803|tester804|tester805|tester806
16,29,UNDEF|tester0|tester1|tester1200|tester1201|tester1202|tester1203|tester1204|tester1205|tester1206|tester2|tester3|tester4|tester400|tester401|tester402|tester403|tester404|tester405|tester406|tester5|tester7|tester800|tester801|tester802|tester803|tester804|tester805|tester806
17,32,UNDEF|tester0|tester1|tester1200|tester1201|tester1202|tester1203|tester1204|tester1205|tester1206|tester2|tester3|tester4|tester400|tester401|tester402|tester403|tester404|tester405|tester406|tester407|tester5|tester7|tester8|tester800|tester801|tester802|tester803|tester804|tester805|tester806|tester807
18,32,UNDEF|tester0|tester1|tester1200|tester1201|tester1202|tester1203|tester1204|tester1205|tester1206|tester2|tester3|tester4|tester400|tester401|tester402|tester403|tester404|tester405|tester406|tester407|tester5|tester7|tester8|tester800|tester801|tester802|tester803|tester804|tester805|tester806|tester807
19,33,UNDEF|tester0|tester1|tester1200|tester1201|tester1202|tester1203|tester1204|tester1205|tester1206|tester2|tester3|tester4|tester400|tester401|tester402|tester403|tester404|tester405|tester406|tester407|tester5|tester6|tester7|tester8|tester800|tester801|tester802|tester803|tester804|tester805|tester806|tester807
20,34,UNDEF|tester0|tester1|tester1200|tester1201|tester1202|tester1203|tester1204|tester1205|tester1206|tester2|tester3|tester4|tester400|tester401|tester402|tester403|tester404|tester405|tester406|tester407|tester5|tester6|tester7|tester8|tester800|tester801|tester802|tester803|tester804|tester805|tester806|tester807|tester809
21,37,UNDEF|tester0|tester1|tester1200|tester1201|tester1202|tester1203|tester1204|tester1205|tester1206|tester2|tester3|tester4|tester400|tester401|tester402|tester403|tester404|tester405|tester406|tester407|tester408|tester409|tester5|tester6|tester7|tester8|tester800|tester801|tester802|tester803|tester804|tester805|tester806|tester807|tester808|tester809
22,37,UNDEF|tester0|tester1|tester1200|tester1201|tester1202|tester1203|tester1204|tester1205|tester1206|tester2|tester3|tester4|tester400|tester401|tester402|tester403|tester404|tester405|tester406|tester407|tester408|tester409|tester5|tester6|tester7|tester8|tester800|tester801|tester802|tester803|tester804|tester805|tester806|tester807|tester808|tester809
23,39,UNDEF|tester0|tester1|tester1200|tester1201|tester1202|tester1203|tester1204|tester1205|tester1206|tester1211|tester2|tester3|tester4|tester400|tester401|tester402|tester403|tester404|tester405|tester406|tester407|tester408|tester409|tester411|tester5|tester6|tester7|tester8|tester800|tester801|tester802|tester803|tester804|tester805|tester806|tester807|tester808|tester809
24,39,UNDEF|tester0|tester1|tester1200|tester1201|tester1202|tester1203|tester1204|tester1205|tester1206|tester1211|tester2|tester3|tester4|tester400|tester401|tester402|tester403|tester404|tester405|tester406|tester407|tester408|tester409|tester411|tester5|tester6|tester7|tester8|tester800|tester801|tester802|tester803|tester804|tester805|tester806|tester807|tester808|tester809
25,40,UNDEF|tester0|tester1|tester1200|tester1201|tester1202|tester1203|tester1204|tester1205|tester1206|tester1209|tester1211|tester2|tester3|tester4|tester400|tester401|tester402|tester403|tester404|tester405|tester406|tester407|tester408|tester409|tester411|tester5|tester6|tester7|tester8|tester800|tester801|tester802|tester803|tester804|tester805|tester806|tester807|tester808|tester809
26,40,UNDEF|tester0|tester1|tester1200|tester1201|tester1202|tester1203|tester1204|tester1205|tester1206|tester1209|tester1211|tester2|tester3|tester4|tester400|tester401|tester402|tester403|tester404|tester405|tester406|tester407|tester408|tester409|tester411|tester5|tester6|tester7|tester8|tester800|tester801|tester802|tester803|tester804|tester805|tester806|tester807|tester808|tester809
27,41,UNDEF|tester0|tester1|tester1200|tester1201|tester1202|tester1203|tester1204|tester1205|tester1206|tester1209|tester1211|tester2|tester3|tester4|tester400|tester401|tester402|tester403|tester404|tester405|tester406|tester407|tester408|tester409|tester411|tester5|tester6|tester7|tester8|tester800|tester801|tester802|tester803|tester804|tester805|tester806|tester807|tester808|tester809|tester810
28,41,UNDEF|tester0|tester1|tester1200|tester1201|tester1202|tester1203|tester1204|tester1205|tester1206|tester1209|tester1211|tester2|tester3|tester4|tester400|tester401|tester402|tester403|tester404|tester405|tester406|tester407|tester408|tester409|tester411|tester5|tester6|tester7|tester8|tester800|tester801|tester802|tester803|tester804|tester805|tester806|tester807|tester808|tester809|tester810
29,42,UNDEF|tester0|tester1|tester1200|tester1201|tester1202|tester1203|tester1204|tester1205|tester1206|tester1209|tester1211|tester2|tester3|tester4|tester400|tester401|tester402|tester403|tester404|tester405|tester406|tester407|tester408|tester409|tester411|tester412|tester5|tester6|tester7|tester8|tester800|tester801|tester802|tester803|tester804|tester805|tester806|tester807|tester808|tester809|tester810
30,43,UNDEF|tester0|tester1|tester1200|tester1201|tester1202|tester1203|tester1204|tester1205|tester1206|tester1209|tester1211|tester2|tester3|tester4|tester400|tester401|tester402|tester403|tester404|tester405|tester406|tester407|tester408|tester409|tester410|tester411|tester412|tester5|tester6|tester7|tester8|tester800|tester801|tester802|tester803|tester804|tester805|tester806|tester807|tester808|tester809|tester810
31,43,UNDEF|tester0|tester1|tester1200|tester1201|tester1202|tester1203|tester1204|tester1205|tester1206|tester1209|tester1211|tester2|tester3|tester4|tester400|tester401|tester402|tester403|tester404|tester405|tester406|tester407|tester408|tester409|tester410|tester411|tester412|tester5|tester6|tester7|tester8|tester800|tester801|tester802|tester803|tester804|tester805|tester806|tester807|tester808|tester809|tester810
32,44,UNDEF|tester0|tester1|tester1200|tester1201|tester1202|tester1203|tester1204|tester1205|tester1206|tester1208|tester1209|tester1211|tester2|tester3|tester4|tester400|tester401|tester402|tester403|tester404|tester405|tester406|tester407|tester408|tester409|tester410|tester411|tester412|tester5|tester6|tester7|tester8|tester800|tester801|tester802|tester803|tester804|tester805|tester806|tester807|tester808|tester809|tester810
33,48,UNDEF|tester0|tester1|tester11|tester1200|tester1201|tester1202|tester1203|tester1204|tester1205|tester1206|tester1208|tester1209|tester1211|tester2|tester3|tester4|tester400|tester401|tester402|tester403|tester404|tester405|tester406|tester407|tester408|tester409|tester410|tester411|tester412|tester415|tester5|tester6|tester7|tester8|tester800|tester801|tester802|tester803|tester804|tester805|tester806|tester807|tester808|tester809|tester810|tester813|tester814
34,49,UNDEF|tester0|tester1|tester11|tester1200|tester1201|tester1202|tester1203|tester1204|tester1205|tester1206|tester1208|tester1209|tester1211|tester16|tester2|tester3|tester4|tester400|tester401|tester402|tester403|tester404|tester405|tester406|tester407|tester408|tester409|tester410|tester411|tester412|tester415|tester5|tester6|tester7|tester8|tester800|tester801|tester802|tester803|tester804|tester805|tester806|tester807|tester808|tester809|tester810|tester813|tester814
35,50,UNDEF|tester0|tester1|tester11|tester1200|tester1201|tester1202|tester1203|tester1204|tester1205|tester1206|tester1208|tester1209|tester1211|tester14|tester16|tester2|tester3|tester4|tester400|tester401|tester402|tester403|tester404|tester405|tester406|tester407|tester408|tester409|tester410|tester411|tester412|tester415|tester5|tester6|tester7|tester8|tester800|tester801|tester802|tester803|tester804|tester805|tester806|tester807|tester808|tester809|tester810|tester813|tester814
36,51,UNDEF|tester0|tester1|tester11|tester1200|tester1201|tester1202|tester1203|tester1204|tester1205|tester1206|tester1208|tester1209|tester1211|tester14|tester15|tester16|tester2|tester3|tester4|tester400|tester401|tester402|tester403|tester404|tester405|tester406|tester407|tester408|tester409|tester410|tester411|tester412|tester415|tester5|tester6|tester7|tester8|tester800|tester801|tester802|tester803|tester804|tester805|tester806|tester807|tester808|tester809|tester810|tester813|tester814
37,53,UNDEF|tester0|tester1|tester11|tester1200|tester1201|tester1202|tester1203|tester1204|tester1205|tester1206|tester1208|tester1209|tester1211|tester1213|tester14|tester15|tester16|tester2|tester3|tester4|tester400|tester401|tester402|tester403|tester404|tester405|tester406|tester407|tester408|tester409|tester410|tester411|tester412|tester413|tester415|tester5|tester6|tester7|tester8|tester800|tester801|tester802|tester803|tester804|tester805|tester806|tester807|tester808|tester809|tester810|tester813|tester814
38,54,UNDEF|tester0|tester1|tester11|tester1200|tester1201|tester1202|tester1203|tester1204|tester1205|tester1206|tester1208|tester1209|tester1211|tester1213|tester1217|tester14|tester15|tester16|tester2|tester3|tester4|tester400|tester401|tester402|tester403|tester404|tester405|tester406|tester407|tester408|tester409|tester410|tester411|tester412|tester413|tester415|tester5|tester6|tester7|tester8|tester800|tester801|tester802|tester803|tester804|tester805|tester806|tester807|tester808|tester809|tester810|tester813|tester814
39,56,UNDEF|tester0|tester1|tester11|tester1200|tester1201|tester1202|tester1203|tester1204|tester1205|tester1206|tester1208|tester1209|tester1211|tester1213|tester1217|tester14|tester15|tester16|tester2|tester3|tester4|tester400|tester401|tester402|tester403|tester404|tester405|tester406|tester407|tester408|tester409|tester410|tester411|tester412|tester413|tester415|tester5|tester6|tester7|tester8|tester800|tester801|tester802|tester803|tester804|tester805|tester806|tester807|tester808|tester809|tester810|tester813|tester814|tester815|tester819
40,56,UNDEF|tester0|tester1|tester11|tester1200|tester1201|tester1202|tester1203|tester1204|tester1205|tester1206|tester1208|tester1209|tester1211|tester1213|tester1217|tester14|tester15|tester16|tester2|tester3|tester4|tester400|tester401|tester402|tester403|tester404|tester405|tester406|tester407|tester408|tester409|tester410|tester411|tester412|tester413|tester415|tester5|tester6|tester7|tester8|tester800|tester801|tester802|tester803|tester804|tester805|tester806|tester807|tester808|tester809|tester810|tester813|tester814|tester815|tester819
41,60,UNDEF|tester0|tester1|tester11|tester1200|tester1201|tester1202|tester1203|tester1204|tester1205|tester1206|tester1208|tester1209|tester1211|tester1213|tester1217|tester14|tester15|tester16|tester2|tester3|tester4|tester400|tester401|tester402|tester403|tester404|tester405|tester406|tester407|tester408|tester409|tester410|tester411|tester412|tester413|tester415|tester418|tester420|tester5|tester6|tester7|tester8|tester800|tester801|tester802|tester803|tester804|tester805|tester806|tester807|tester808|tester809|tester810|tester813|tester814|tester815|tester817|tester819|tester820
42,61,UNDEF|tester0|tester1|tester11|tester1200|tester1201|tester1202|tester1203|tester1204|tester1205|tester1206|tester1208|tester1209|tester1211|tester1213|tester1217|tester14|tester15|tester16|tester2|tester3|tester4|tester400|tester401|tester402|tester403|tester404|tester405|tester406|tester407|tester408|tester409|tester410|tester411|tester412|tester413|tester414|tester415|tester418|tester420|tester5|tester6|tester7|tester8|tester800|tester801|tester802|tester803|tester804|tester805|tester806|tester807|tester808|tester809|tester810|tester813|tester814|tester815|tester817|tester819|tester820
43,63,UNDEF|tester0|tester1|tester11|tester1200|tester1201|tester1202|tester1203|tester1204|tester1205|tester1206|tester1208|tester1209|tester1211|tester1213|tester1214|tester1217|tester1221|tester14|tester15|tester16|tester2|tester3|tester4|tester400|tester401|tester402|tester403|tester404|tester405|tester406|tester407|tester408|tester409|tester410|tester411|tester412|tester413|tester414|tester415|tester418|tester420|tester5|tester6|tester7|tester8|tester800|tester801|tester802|tester803|tester804|tester805|tester806|tester807|tester808|tester809|tester810|tester813|tester814|tester815|tester817|tester819|tester820
44,63,UNDEF|tester0|tester1|tester11|tester1200|tester1201|tester1202|tester1203|tester1204|tester1205|tester1206|tester1208|tester1209|tester1211|tester1213|tester1214|tester1217|tester1221|tester14|tester15|tester16|tester2|tester3|tester4|tester400|tester401|tester402|tester403|tester404|tester405|tester406|tester407|tester408|tester409|tester410|tester411|tester412|tester413|tester414|tester415|tester418|tester420|tester5|tester6|tester7|tester8|tester800|tester801|tester802|tester803|tester804|tester805|tester806|tester807|tester808|tester809|tester810|tester813|tester814|tester815|tester817|tester819|tester820
45,64,UNDEF|tester0|tester1|tester11|tester1200|tester1201|tester1202|tester1203|tester1204|tester1205|tester1206|tester1208|tester1209|tester1211|tester1213|tester1214|tester1217|tester1221|tester14|tester15|tester16|tester2|tester3|tester4|tester400|tester401|tester402|tester403|tester404|tester405|tester406|tester407|tester408|tester409|tester410|tester411|tester412|tester413|tester414|tester415|tester418|tester420|tester421|tester5|tester6|tester7|tester8|tester800|tester801|tester802|tester803|tester804|tester805|tester806|tester807|tester808|tester809|tester810|tester813|tester814|tester815|tester817|tester819|tester820
46,65,UNDEF|tester0|tester1|tester11|tester1200|tester1201|tester1202|tester1203|tester1204|tester1205|tester1206|tester1208|tester1209|tester1211|tester1213|tester1214|tester1217|tester1221|tester14|tester15|tester16|tester2|tester3|tester4|tester400|tester401|tester402|tester403|tester404|tester405|tester406|tester407|tester408|tester409|tester410|tester411|tester412|tester413|tester414|tester415|tester418|tester420|tester421|tester5|tester6|tester7|tester8|tester800|tester801|tester802|tester803|tester804|tester805|tester806|tester807|tester808|tester809|tester810|tester813|tester814|tester815|tester817|tester819|tester820|tester822
47,70,UNDEF|tester0|tester1|tester11|tester1200|tester1201|tester1202|tester1203|tester1204|tester1205|tester1206|tester1208|tester1209|tester1210|tester1211|tester1213|tester1214|tester1217|tester1221|tester14|tester15|tester16|tester2|tester22|tester3|tester4|tester400|tester401|tester402|tester403|tester404|tester405|tester406|tester407|tester408|tester409|tester410|tester411|tester412|tester413|tester414|tester415|tester417|tester418|tester420|tester421|tester422|tester5|tester6|tester7|tester8|tester800|tester801|tester802|tester803|tester804|tester805|tester806|tester807|tester808|tester809|tester810|tester813|tester814|tester815|tester817|tester819|tester820|tester821|tester822
48,71,UNDEF|tester0|tester1|tester11|tester1200|tester1201|tester1202|tester1203|tester1204|tester1205|tester1206|tester1208|tester1209|tester1210|tester1211|tester1213|tester1214|tester1217|tester1219|tester1221|tester14|tester15|tester16|tester2|tester22|tester3|tester4|tester400|tester401|tester402|tester403|tester404|tester405|tester406|tester407|tester408|tester409|tester410|tester411|tester412|tester413|tester414|tester415|tester417|tester418|tester420|tester421|tester422|tester5|tester6|tester7|tester8|tester800|tester801|tester802|tester803|tester804|tester805|tester806|tester807|tester808|tester809|tester810|tester813|tester814|tester815|tester817|tester819|tester820|tester821|tester822
49,72,UNDEF|tester0|tester1|tester11|tester1200|tester1201|tester1202|tester1203|tester1204|tester1205|tester1206|tester1208|tester1209|tester1210|tester1211|tester1213|tester1214|tester1217|tester1219|tester1221|tester14|tester15|tester16|tester2|tester22|tester3|tester4|tester400|tester401|tester402|tester403|tester404|tester405|tester406|tester407|tester408|tester409|tester410|tester411|tester412|tester413|tester414|tester415|tester417|tester418|tester420|tester421|tester422|tester5|tester6|tester7|tester8|tester800|tester801|tester802|tester803|tester804|tester805|tester806|tester807|tester808|tester809|tester810|tester813|tester814|tester815|tester817|tester819|tester820|tester821|tester822|tester823
50,74,UNDEF|tester0|tester1|tester11|tester1200|tester1201|tester1202|tester1203|tester1204|tester1205|tester1206|tester1208|tester1209|tester1210|tester1211|tester1213|tester1214|tester1217|tester1219|tester1221|tester14|tester15|tester16|tester2|tester21|tester22|tester23|tester3|tester4|tester400|tester401|tester402|tester403|tester404|tester405|tester406|tester407|tester408|tester409|tester410|tester411|tester412|tester413|tester414|tester415|tester417|tester418|tester420|tester421|tester422|tester5|tester6|tester7|tester8|tester800|tester801|tester802|tester803|tester804|tester805|tester806|tester807|tester808|tester809|tester810|tester813|tester814|tester815|tester817|tester819|tester820|tester821|tester822|tester823
51,78,UNDEF|tester0|tester1|tester11|tester1200|tester1201|tester1202|tester1203|tester1204|tester1205|tester1206|tester1208|tester1209|tester1210|tester1211|tester1213|tester1214|tester1217|tester1218|tester1219|tester1221|tester1224|tester14|tester15|tester16|tester19|tester2|tester21|tester22|tester23|tester3|tester4|tester400|tester401|tester402|tester403|tester404|tester405|tester406|tester407|tester408|tester409|tester410|tester411|tester412|tester413|tester414|tester415|tester417|tester418|tester419|tester420|tester421|tester422|tester5|tester6|tester7|tester8|tester800|tester801|tester802|tester803|tester804|tester805|tester806|tester807|tester808|tester809|tester810|tester813|tester814|tester815|tester817|tester819|tester820|tester821|tester822|tester823
