Timestamp,Total Memory (MB),Used Memory (MB),Free Memory (MB),CPU Usage (%)
2025-02-10 16:18:43,15709.91796875,6444.16796875,1781.734375,51.8
2025-02-10 16:18:45,15709.91796875,6457.37109375,1765.44921875,36.8
2025-02-10 16:18:47,15709.91796875,6385.7734375,1845.40625,35.7
2025-02-10 16:18:49,15709.91796875,6453.59765625,1783.62890625,47.2
2025-02-10 16:18:51,15709.91796875,6488.01953125,1770.828125,36.3
2025-02-10 16:18:53,15709.91796875,6359.58203125,1892.7578125,40.5
2025-02-10 16:18:55,15709.91796875,6465.8046875,1805.46484375,35.5
2025-02-10 16:18:57,15709.91796875,6392.03515625,1881.70703125,35.3
2025-02-10 16:18:59,15709.91796875,6407.30859375,1864.75390625,35.3
2025-02-10 16:19:01,15709.91796875,6368.4921875,1909.6328125,50.5
2025-02-10 16:19:03,15709.91796875,6373.13671875,1899.12890625,35.5
2025-02-10 16:19:05,15709.91796875,6450.515625,1821.4375,35.4
2025-02-10 16:19:07,15709.91796875,6446.7109375,1832.11328125,42.8
2025-02-10 16:19:09,15709.91796875,6280.23046875,1980.6640625,40.6
2025-02-10 16:19:11,15709.91796875,6392.02734375,1870.11328125,39.0
2025-02-10 16:19:13,15709.91796875,6301.6484375,1963.69921875,45.0
2025-02-10 16:19:15,15709.91796875,6390.06640625,1875.62109375,43.3
2025-02-10 16:19:17,15709.91796875,6300.44140625,1954.34765625,38.6
2025-02-10 16:19:19,15709.91796875,6455.1953125,1801.69140625,55.0
2025-02-10 16:19:21,15709.91796875,6354.375,1903.390625,40.1
2025-02-10 16:19:23,15709.91796875,6484.1640625,1766.41796875,37.8
2025-02-10 16:19:25,15709.91796875,6443.73828125,1812.60546875,39.7
2025-02-10 16:19:27,15709.91796875,6240.5546875,2014.65625,39.4
2025-02-10 16:19:29,15709.91796875,6570.1875,1676.3203125,45.6
2025-02-10 16:19:31,15709.91796875,6420.23828125,1833.34765625,40.8
2025-02-10 16:19:33,15709.91796875,6345.45703125,1909.34765625,37.5
2025-02-10 16:19:35,15709.91796875,6367.10546875,1885.97265625,36.1
2025-02-10 16:19:37,15709.91796875,6435.59765625,1824.04296875,34.8
2025-02-10 16:19:39,15709.91796875,6281.11328125,1978.5859375,35.3
2025-02-10 16:19:41,15709.91796875,6278.8984375,1975.88671875,35.9
