Method,Name,Error,Occurrences
POST,/message/create,HTTPError('500 Server Error: Internal Server Error for url: /message/create'),24529
POST,POST message_json on /message/create,HTTPError('503 Server Error: Service Unavailable for url: POST message_json on /message/create'),6
POST,/message/create,"ConnectionResetError(104, 'Connection reset by peer')",3996
POST,POST message_form on /message/create,"ConnectionResetError(104, 'Connection reset by peer')",693
POST,POST message_json on /message/create,"ConnectionResetError(104, 'Connection reset by peer')",710
POST,POST message_form on /message/create,HTTPError('500 Server Error: Internal Server Error for url: POST message_form on /message/create'),4702
POST,/message/create,"ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x....>, 'Connection to flask timed out. (connect timeout=None)')",3005
GET,GET MESSAGE,"ConnectionResetError(104, 'Connection reset by peer')",324
GET,GET /,HTTPError('500 Server Error: Internal Server Error for url: GET /'),12108
GET,GET MESSAGE,"ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x....>, 'Connection to flask timed out. (connect timeout=None)')",350
GET,GET MESSAGE,HTTPError('503 Server Error: Service Unavailable for url: GET MESSAGE'),4
POST,POST message_form on /message/create,"ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x....>, 'Connection to flask timed out. (connect timeout=None)')",533
POST,POST message_json on /message/create,RemoteDisconnected('Remote end closed connection without response'),1
GET,GET /,HTTPError('503 Server Error: Service Unavailable for url: GET /'),28
GET,GET MESSAGE,HTTPError('500 Server Error: Internal Server Error for url: GET MESSAGE'),3249
POST,/message/create,RemoteDisconnected('Remote end closed connection without response'),6
GET,GET /,"ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x....>, 'Connection to flask timed out. (connect timeout=None)')",1323
POST,POST message_form on /message/create,HTTPError('503 Server Error: Service Unavailable for url: POST message_form on /message/create'),11
GET,GET /,"ConnectionResetError(104, 'Connection reset by peer')",1220
GET,GET /,RemoteDisconnected('Remote end closed connection without response'),4
POST,/message/create,HTTPError('503 Server Error: Service Unavailable for url: /message/create'),34
POST,POST message_json on /message/create,"ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x....>, 'Connection to flask timed out. (connect timeout=None)')",546
POST,POST message_json on /message/create,HTTPError('500 Server Error: Internal Server Error for url: POST message_json on /message/create'),4514
